wage_from,wage_to,employer,employee
3620.01,3640.00,474.00,401.00
3640.01,3660.00,476.00,403.00
3660.01,3680.00,479.00,405.00
3680.01,3700.00,481.00,407.00
3700.01,3720.00,484.00,410.00
3720.01,3740.00,487.00,412.00
3740.01,3760.00,489.00,414.00
3760.01,3780.00,492.00,416.00
3780.01,3800.00,494.00,418.00
3800.01,3820.00,497.00,421.00
3820.01,3840.00,500.00,423.00
3840.01,3860.00,502.00,425.00
3860.01,3880.00,505.00,427.00
3880.01,3900.00,507.00,429.00
3900.01,3920.00,510.00,432.00
3920.01,3940.00,513.00,434.00
3940.01,3960.00,515.00,436.00
3960.01,3980.00,518.00,438.00
3980.01,4000.00,520.00,440.00
4000.01,4020.00,523.00,443.00
4020.01,4040.00,526.00,445.00
4040.01,4060.00,528.00,447.00
4060.01,4080.00,531.00,449.00
4080.01,4100.00,533.00,451.00
4100.01,4120.00,536.00,454.00
4120.01,4140.00,539.00,456.00
4140.01,4160.00,541.00,458.00
4160.01,4180.00,544.00,460.00
4180.01,4200.00,546.00,462.00
4200.01,4220.00,549.00,465.00
4220.01,4240.00,552.00,467.00
4240.01,4260.00,554.00,469.00
4260.01,4280.00,557.00,471.00
4280.01,4300.00,559.00,473.00
4300.01,4320.00,562.00,476.00
4320.01,4340.00,565.00,478.00
4340.01,4360.00,567.00,480.00
4360.01,4380.00,570.00,482.00
4380.01,4400.00,572.00,484.00
4400.01,4420.00,575.00,487.00
4420.01,4440.00,578.00,489.00
4440.01,4460.00,580.00,491.00
4460.01,4480.00,583.00,493.00
4480.01,4500.00,585.00,495.00
4500.01,4520.00,588.00,498.00
4520.01,4540.00,591.00,500.00
4540.01,4560.00,593.00,502.00
4560.01,4580.00,596.00,504.00
4580.01,4600.00,598.00,506.00
4600.01,4620.00,601.00,509.00
4620.01,4640.00,604.00,511.00
4640.01,4660.00,606.00,513.00
4660.01,4680.00,609.00,515.00
4680.01,4700.00,611.00,517.00
4700.01,4720.00,614.00,520.00
4720.01,4740.00,617.00,522.00
4740.01,4760.00,619.00,524.00
4760.01,4780.00,622.00,526.00
4780.01,4800.00,624.00,528.00
4800.01,4820.00,627.00,531.00
4820.01,4840.00,630.00,533.00
4840.01,4860.00,632.00,535.00
4860.01,4880.00,635.00,537.00
4880.01,4900.00,637.00,539.00
4900.01,4920.00,640.00,542.00
4920.01,4940.00,643.00,544.00
4940.01,4960.00,645.00,546.00
4960.01,4980.00,648.00,548.00
4980.01,5000.00,650.00,550.00
5000.01,5100.00,612.00,561.00
5100.01,5200.00,624.00,572.00
5200.01,5300.00,636.00,583.00
5300.01,5400.00,648.00,594.00
5400.01,5500.00,660.00,605.00
5500.01,5600.00,672.00,616.00
5600.01,5700.00,684.00,627.00
5700.01,5800.00,696.00,638.00
5800.01,5900.00,708.00,649.00
5900.01,6000.00,720.00,660.00
6000.01,6100.00,732.00,671.00
6100.01,6200.00,744.00,682.00
6200.01,6300.00,756.00,693.00
6300.01,6400.00,768.00,704.00
6400.01,6500.00,780.00,715.00
6500.01,6600.00,792.00,726.00
6600.01,6700.00,804.00,737.00
6700.01,6800.00,816.00,748.00
6800.01,6900.00,828.00,759.00
6900.01,7000.00,840.00,770.00
7000.01,7100.00,852.00,781.00
7100.01,7200.00,864.00,792.00
7200.01,7300.00,876.00,803.00
7300.01,7400.00,888.00,814.00
7400.01,7500.00,900.00,825.00
7500.01,7600.00,912.00,836.00
7600.01,7700.00,924.00,847.00
7700.01,7800.00,936.00,858.00
7800.01,7900.00,948.00,869.00
7900.01,8000.00,960.00,880.00
8000.01,8100.00,972.00,891.00
8100.01,8200.00,984.00,902.00
8200.01,8300.00,996.00,913.00
8300.01,8400.00,1008.00,924.00
8400.01,8500.00,1020.00,935.00
8500.01,8600.00,1032.00,946.00
8600.01,8700.00,1044.00,957.00
8700.01,8800.00,1056.00,968.00
8800.01,8900.00,1068.00,979.00
8900.01,9000.00,1080.00,990.00
9000.01,9100.00,1092.00,1001.00
9100.01,9200.00,1104.00,1012.00
9200.01,9300.00,1116.00,1023.00
9300.01,9400.00,1128.00,1034.00
9400.01,9500.00,1140.00,1045.00
9500.01,9600.00,1152.00,1056.00
9600.01,9700.00,1164.00,1067.00
9700.01,9800.00,1176.00,1078.00
9800.01,9900.00,1188.00,1089.00
9900.01,10000.00,1200.00,1100.00
10000.01,10100.00,1212.00,1111.00
10100.01,10200.00,1224.00,1122.00
10200.01,10300.00,1236.00,1133.00
10300.01,10400.00,1248.00,1144.00
10400.01,10500.00,1260.00,1155.00
10500.01,10600.00,1272.00,1166.00
10600.01,10700.00,1284.00,1177.00
10700.01,10800.00,1296.00,1188.00
10800.01,10900.00,1308.00,1199.00
10900.01,11000.00,1320.00,1210.00
11000.01,11100.00,1332.00,1221.00
11100.01,11200.00,1344.00,1232.00
11200.01,11300.00,1356.00,1243.00
11300.01,11400.00,1368.00,1254.00
11400.01,11500.00,1380.00,1265.00
11500.01,11600.00,1392.00,1276.00
11600.01,11700.00,1404.00,1287.00
11700.01,11800.00,1416.00,1298.00
11800.01,11900.00,1428.00,1309.00
11900.01,12000.00,1440.00,1320.00
12000.01,12100.00,1452.00,1331.00
12100.01,12200.00,1464.00,1342.00
12200.01,12300.00,1476.00,1353.00
12300.01,12400.00,1488.00,1364.00
12400.01,12500.00,1500.00,1375.00
12500.01,12600.00,1512.00,1386.00
12600.01,12700.00,1524.00,1397.00
12700.01,12800.00,1536.00,1408.00
12800.01,12900.00,1548.00,1419.00
12900.01,13000.00,1560.00,1430.00
13000.01,13100.00,1572.00,1441.00
13100.01,13200.00,1584.00,1452.00
13200.01,13300.00,1596.00,1463.00
13300.01,13400.00,1608.00,1474.00
13400.01,13500.00,1620.00,1485.00
13500.01,13600.00,1632.00,1496.00
13600.01,13700.00,1644.00,1507.00
13700.01,13800.00,1656.00,1518.00
13800.01,13900.00,1668.00,1529.00
13900.01,14000.00,1680.00,1540.00
14000.01,14100.00,1692.00,1551.00
14100.01,14200.00,1704.00,1562.00
14200.01,14300.00,1716.00,1573.00
14300.01,14400.00,1728.00,1584.00
14400.01,14500.00,1740.00,1595.00
14500.01,14600.00,1752.00,1606.00
14600.01,14700.00,1764.00,1617.00
14700.01,14800.00,1776.00,1628.00
14800.01,14900.00,1788.00,1639.00
14900.01,15000.00,1800.00,1650.00
15000.01,15100.00,1812.00,1661.00
15100.01,15200.00,1824.00,1672.00
15200.01,15300.00,1836.00,1683.00
15300.01,15400.00,1848.00,1694.00
15400.01,15500.00,1860.00,1705.00
15500.01,15600.00,1872.00,1716.00
15600.01,15700.00,1884.00,1727.00
15700.01,15800.00,1896.00,1738.00
15800.01,15900.00,1908.00,1749.00
15900.01,16000.00,1920.00,1760.00
16000.01,16100.00,1932.00,1771.00
16100.01,16200.00,1944.00,1782.00
16200.01,16300.00,1956.00,1793.00
16300.01,16400.00,1968.00,1804.00
16400.01,16500.00,1980.00,1815.00
16500.01,16600.00,1992.00,1826.00
16600.01,16700.00,2004.00,1837.00
16700.01,16800.00,2016.00,1848.00
16800.01,16900.00,2028.00,1859.00
16900.01,17000.00,2040.00,1870.00
17000.01,17100.00,2052.00,1881.00
17100.01,17200.00,2064.00,1892.00
17200.01,17300.00,2076.00,1903.00
17300.01,17400.00,2088.00,1914.00
17400.01,17500.00,2100.00,1925.00
17500.01,17600.00,2112.00,1936.00
17600.01,17700.00,2124.00,1947.00
17700.01,17800.00,2136.00,1958.00
17800.01,17900.00,2148.00,1969.00
17900.01,18000.00,2160.00,1980.00
18000.01,18100.00,2172.00,1991.00
18100.01,18200.00,2184.00,2002.00
18200.01,18300.00,2196.00,2013.00
18300.01,18400.00,2208.00,2024.00
18400.01,18500.00,2220.00,2035.00
18500.01,18600.00,2232.00,2046.00
18600.01,18700.00,2244.00,2057.00
18700.01,18800.00,2256.00,2068.00
18800.01,18900.00,2268.00,2079.00
18900.01,19000.00,2280.00,2090.00
19000.01,19100.00,2292.00,2101.00
19100.01,19200.00,2304.00,2112.00
19200.01,19300.00,2316.00,2123.00
19300.01,19400.00,2328.00,2134.00
19400.01,19500.00,2340.00,2145.00
19500.01,19600.00,2352.00,2156.00
19600.01,19700.00,2364.00,2167.00
19700.01,19800.00,2376.00,2178.00
19800.01,19900.00,2388.00,2189.00
19900.01,20000.00,2400.00,2200.00
