wage_from,wage_to,employer,employee
0.01,10.00,0.00,0.00
10.01,20.00,2.00,2.00
20.01,40.00,3.00,3.00
40.01,60.00,4.00,4.00
60.01,80.00,6.00,5.00
80.01,100.00,7.00,6.00
100.01,120.00,8.00,7.00
120.01,140.00,10.00,8.00
140.01,160.00,11.00,9.00
160.01,180.00,12.00,10.00
180.01,200.00,13.00,11.00
200.01,220.00,15.00,13.00
220.01,240.00,16.00,14.00
240.01,260.00,17.00,15.00
260.01,280.00,19.00,16.00
280.01,300.00,20.00,17.00
300.01,320.00,21.00,18.00
320.01,340.00,23.00,19.00
340.01,360.00,24.00,20.00
360.01,380.00,25.00,21.00
380.01,400.00,26.00,22.00
400.01,420.00,28.00,24.00
420.01,440.00,29.00,25.00
440.01,460.00,30.00,26.00
460.01,480.00,32.00,27.00
480.01,500.00,33.00,28.00
500.01,520.00,34.00,29.00
520.01,540.00,36.00,30.00
540.01,560.00,37.00,31.00
560.01,580.00,38.00,32.00
580.01,600.00,39.00,33.00
600.01,620.00,41.00,35.00
620.01,640.00,42.00,36.00
640.01,660.00,43.00,37.00
660.01,680.00,45.00,38.00
680.01,700.00,46.00,39.00
700.01,720.00,47.00,40.00
720.01,740.00,49.00,41.00
740.01,760.00,50.00,42.00
760.01,780.00,51.00,43.00
780.01,800.00,52.00,44.00
800.01,820.00,54.00,46.00
820.01,840.00,55.00,47.00
840.01,860.00,56.00,48.00
860.01,880.00,58.00,49.00
880.01,900.00,59.00,50.00
900.01,920.00,60.00,51.00
920.01,940.00,62.00,52.00
940.01,960.00,63.00,53.00
960.01,980.00,64.00,54.00
980.01,1000.00,65.00,55.00
1000.01,1020.00,67.00,57.00
1020.01,1040.00,68.00,58.00
1040.01,1060.00,69.00,59.00
1060.01,1080.00,71.00,60.00
1080.01,1100.00,72.00,61.00
1100.01,1120.00,73.00,62.00
1120.01,1140.00,75.00,63.00
1140.01,1160.00,76.00,64.00
1160.01,1180.00,77.00,65.00
1180.01,1200.00,78.00,66.00
1200.01,1220.00,80.00,68.00
1220.01,1240.00,81.00,69.00
1240.01,1260.00,82.00,70.00
1260.01,1280.00,84.00,71.00
1280.01,1300.00,85.00,72.00
1300.01,1320.00,86.00,73.00
1320.01,1340.00,88.00,74.00
1340.01,1360.00,89.00,75.00
1360.01,1380.00,90.00,76.00
1380.01,1400.00,91.00,77.00
1400.01,1420.00,93.00,79.00
1420.01,1440.00,94.00,80.00
1440.01,1460.00,95.00,81.00
1460.01,1480.00,97.00,82.00
1480.01,1500.00,98.00,83.00
1500.01,1520.00,99.00,84.00
1520.01,1540.00,101.00,85.00
1540.01,1560.00,102.00,86.00
1560.01,1580.00,103.00,87.00
1580.01,1600.00,104.00,88.00
1600.01,1620.00,106.00,90.00
1620.01,1640.00,107.00,91.00
1640.01,1660.00,108.00,92.00
1660.01,1680.00,110.00,93.00
1680.01,1700.00,111.00,94.00
1700.01,1720.00,112.00,95.00
1720.01,1740.00,114.00,96.00
1740.01,1760.00,115.00,97.00
1760.01,1780.00,116.00,98.00
1780.01,1800.00,117.00,99.00
1800.01,1820.00,119.00,101.00
1820.01,1840.00,120.00,102.00
1840.01,1860.00,121.00,103.00
1860.01,1880.00,123.00,104.00
1880.01,1900.00,124.00,105.00
1900.01,1920.00,125.00,106.00
1920.01,1940.00,127.00,107.00
1940.01,1960.00,128.00,108.00
1960.01,1980.00,129.00,109.00
1980.01,2000.00,130.00,110.00
2000.01,2020.00,132.00,112.00
2020.01,2040.00,133.00,113.00
2040.01,2060.00,134.00,114.00
2060.01,2080.00,136.00,115.00
2080.01,2100.00,137.00,116.00
2100.01,2120.00,138.00,117.00
2120.01,2140.00,140.00,118.00
2140.01,2160.00,141.00,119.00
2160.01,2180.00,142.00,120.00
2180.01,2200.00,143.00,121.00
2200.01,2220.00,145.00,123.00
2220.01,2240.00,146.00,124.00
2240.01,2260.00,147.00,125.00
2260.01,2280.00,149.00,126.00
2280.01,2300.00,150.00,127.00
2300.01,2320.00,151.00,128.00
2320.01,2340.00,153.00,129.00
2340.01,2360.00,154.00,130.00
2360.01,2380.00,155.00,131.00
2380.01,2400.00,156.00,132.00
